index,title,genres,formats,keywords,image
50,No Time to Die,Action,Movies,Action,https://th.bing.com/th/id/OIP.XSehL-oFokLf8FYfO3mf5QHaNK?rs=1&pid=ImgDetMain
51,The Ice Age Adventures of Buck Wild,Animation ,Anime,Action Animation,https://th.bing.com/th/id/OIP.q1Y2ztc20L7dvZgRtNbiBgHaK-?rs=1&pid=ImgDetMain
52,The Adam Project,Comedy,Movies,Comedy,https://th.bing.com/th/id/OIP.mvROXn5ycIm4xfzKjM0A8QAAAA?rs=1&pid=ImgDetMain
53,"Tick, Tick... Boom!",Musical,Movies,Musical,https://th.bing.com/th/id/OIP.uvM0_OHxp7LEd8JrufXvFAHaOG?rs=1&pid=ImgDetMain
54,Rumble,Animation ,Anime,Action Animation,https://moviekids.co.uk/wp-content/uploads/2020/09/MV5BYjY0ODA0YmUtMGFlNC00ODQzLTllOTUtZjU4Mjc1MTUwNTAxXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_SY1000_SX675_AL_-1382x2048.jpg
55,Into the Woods,Animation ,Anime,Musical Animation ,https://th.bing.com/th/id/R.4b14c772226648391406b1f748a73caa?rik=DxQBXsawTlJ67A&riu=http%3a%2f%2fwww.movienewz.com%2fimg%2ffilms%2finto-the-woods-movie-poster-1.jpg&ehk=sE4Y%2fzhglYEEakXmRBOysfdUfQq6qd1LWs%2bkTUUDrws%3d&risl=&pid=ImgRaw&r=0
56,Iron Man 1 (2008),Action,Movies,Action Adventure Fantasy,https://th.bing.com/th/id/R.d1093eb1b7a1ee7dd1c5f2fae928852e?rik=8lVcSKK8Isw8Yw&riu=http%3a%2f%2f2.bp.blogspot.com%2f-CAGUrvfL8Wo%2fTesvKR3PKYI%2fAAAAAAAAAMU%2fJugMh6i7a0U%2fs1600%2fironman1discr1artpic1.jpg&ehk=PAxqbuTDG9C68rqapqbkq7crhJhXXsxUMh%2fPiJZvhnQ%3d&risl=&pid=ImgRaw&r=0
57,Iron Man 2 (2010),Action,Movies,Action Adventure Fantasy,https://pics.filmaffinity.com/Iron_Man_2-466103197-large.jpg
58,Iron Man 3,Action,Movies,Action Adventure Fantasy,https://th.bing.com/th/id/R.50634b4b0ad669613e0a41b323192a66?rik=V1dPsZboXBMjwQ&riu=http%3a%2f%2fimages6.fanpop.com%2fimage%2fphotos%2f32300000%2fIron-Man-3-iron-man-32378886-1063-1375.jpg&ehk=kn2I%2fYdWMUyA0O3oWj6yEhFP1kIsiJg5MUoC4xoDVbU%3d&risl=&pid=ImgRaw&r=0
59,joker 2019,Thriller,Movies,Thriller Psychological-Thriller,https://r1.ilikewallpaper.net/iphone-12-pro-wallpapers/download-103019/joker-2019-movie.jpg
60,Joker 2008,Thriller,Movies,Thriller Psychological-Thriller,https://wallpapercave.com/wp/wp7211529.jpg
61,joker 2016,Thriller,Movies,Thriller Psychological-Thriller,https://th.bing.com/th/id/OIP.M3KReLw3ge9PIzSNgkq1uwHaNK?w=1080&h=1920&rs=1&pid=ImgDetMain
62,Joker: Part II (2021),Thriller,Movies,Thriller Psychological-Thriller,https://m.media-amazon.com/images/M/MV5BNzY5YWY3N2QtNDVlYi00NmE5LTgyOGItMDE0YTQzMWM2NzVjXkEyXkFqcGdeQXVyNTUzNDMzOTY@._V1_.jpg
63,Injustice1,Thriller,Movies,Thriller Psychological-Thriller,"https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/f/131b59c7-d5a3-4f21-813e-043a44630987/d5yn27y-cdf4885f-f9ba-43c4-bc03-4c5c4f4ae9b5.jpg/v1/fill/w_774,h_1032,q_75,strp/injustice_joker_by_nhkkyo-d5yn27y.jpg?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpc3MiOiJ1cm46YXBwOjdlMGQxODg5ODIyNjQzNzNhNWYwZDQxNWVhMGQyNmUwIiwic3ViIjoidXJuOmFwcDo3ZTBkMTg4OTgyMjY0MzczYTVmMGQ0MTVlYTBkMjZlMCIsImF1ZCI6WyJ1cm46c2VydmljZTppbWFnZS5vcGVyYXRpb25zIl0sIm9iaiI6W1t7InBhdGgiOiIvZi8xMzFiNTljNy1kNWEzLTRmMjEtODEzZS0wNDNhNDQ2MzA5ODcvZDV5bjI3eS1jZGY0ODg1Zi1mOWJhLTQzYzQtYmMwMy00YzVjNGY0YWU5YjUuanBnIiwid2lkdGgiOiI8PTc3NCIsImhlaWdodCI6Ijw9MTAzMiJ9XV19.GVxoGcZrb5-q1T_By9ScUvJ2woD4FB45RPWypWc-tmY"
64,Injustice2,Thriller,Movies,Thriller Psychological-Thriller,"https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/f/94ab2ad3-e0d4-4764-85ad-873af742bd4a/dbbav6z-2f2cfe6f-bf1b-4dab-a76e-67e526624998.png/v1/fill/w_783,h_1021,q_75,strp/the_clown_prince_of_crime_by_arkhamnatic-dbbav6z.png?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpc3MiOiJ1cm46YXBwOjdlMGQxODg5ODIyNjQzNzNhNWYwZDQxNWVhMGQyNmUwIiwic3ViIjoidXJuOmFwcDo3ZTBkMTg4OTgyMjY0MzczYTVmMGQ0MTVlYTBkMjZlMCIsImF1ZCI6WyJ1cm46c2VydmljZTppbWFnZS53YXRlcm1hcmsiXSwib2JqIjpbW3sicGF0aCI6Ii9mLzk0YWIyYWQzLWUwZDQtNDc2NC04NWFkLTg3M2FmNzQyYmQ0YS9kYmJhdjZ6LTJmMmNmZTZmLWJmMWItNGRhYi1hNzZlLTY3ZTUyNjYyNDk5OC5wbmciLCJ3aWR0aCI6Ijw9NzgzIiwiaGVpZ2h0IjoiPD0xMDIxIn1dXSwid21rIjp7InBhdGgiOiIvd20vOTRhYjJhZDMtZTBkNC00NzY0LTg1YWQtODczYWY3NDJiZDRhL2Fya2hhbW5hdGljLTQucG5nIiwib3BhY2l0eSI6OTUsInByb3BvcnRpb25zIjowLjQ1LCJncmF2aXR5IjoiY2VudGVyIn19._4TiVfyJjZV1hRJ4cbF3IwTejQ75JcZJ6DLfqpX2EL4"
65,Joker IMAX,Thriller,Movies,Thriller Psychological-Thriller,https://i1.wp.com/batman-news.com/wp-content/uploads/2019/09/Joker-Official-Images-Imax-Poster-01.jpg?quality=80&strip=info&ssl=1
66,harry potter 1,Fantasy,Movies,Fantasy Action,https://th.bing.com/th/id/OIP.hR4DyZZTJSnSzKKAGlSk6gHaLH?rs=1&pid=ImgDetMain
67,harry potter 2,Fantasy,Movies,Fantasy Action,https://www.tvguide.com/a/img/catalog/provider/1/2/1-8548330221.jpg
68,harry potter 3,Fantasy,Movies,Fantasy Action,https://th.bing.com/th/id/OIP.htarf1c4avST16YxojneXAHaKj?rs=1&pid=ImgDetMain
69,harry potter 4,Fantasy,Movies,Fantasy Action,https://th.bing.com/th/id/R.79a5ff7a40215cb7e98ffd230523fa4c?rik=BwQCDLHb8Mm9pw&pid=ImgRaw&r=0
70,harry potter 5,Fantasy,Movies,Fantasy Action,https://th.bing.com/th/id/R.5e90832aeb0e057602e7441390ed87a9?rik=%2bUm6w%2bGUxvHHvg&riu=http%3a%2f%2fimage.tmdb.org%2ft%2fp%2foriginal%2flmYmoXVzVrTadfXHZ3v1ySqA1fn.jpg&ehk=e63RfoNI5JONHtlVG3LM28%2bAwafhpEwjNX4r%2fa7QAck%3d&risl=&pid=ImgRaw&r=0
71,harry potter 6,Fantasy,Movies,Fantasy Action,https://www.kidibot.ro/wp-content/uploads/2020/03/6-scaled.jpeg
72,harry potter 7 Part 1,Fantasy,Movies,Fantasy Action,https://in.bmscdn.com/iedb/movies/images/extra/vertical_logo/mobile/thumbnail/xxlarge/harry-potter-and-the-deathly-hallows-part-1-et00005423-06-04-2021-07-50-23.jpg
73,harry potter 7 Part 2,Fantasy,Movies,Fantasy Action,https://th.bing.com/th/id/R.6eb8487c25eb98fd5880b59d21980854?rik=F8hPGZEI5unGJA&riu=http%3a%2f%2fberryapercu.files.wordpress.com%2f2011%2f12%2fharry-potter-7-2.jpg&ehk=RTgeZ9Sa7DtlpkLdlIV7eJtiL2Ha1wRfx8gnly3jPDI%3d&risl=&pid=ImgRaw&r=0
74,jujustsu 1,Animation ,Anime,Animation Fantasy Action,https://th.bing.com/th/id/OIP.duTk1dew0RGz7cF0BYHCJwAAAA?w=360&h=540&rs=1&pid=ImgDetMain
75,jujustsu 2,Animation ,Anime,Animation Fantasy Action,https://mx.web.img3.acsta.net/c_310_420/pictures/23/07/05/22/27/2241970.jpg
76,jujustsu 0,Animation ,Anime,Animation Fantasy Action,https://th.bing.com/th/id/OIP.s6ExD0BubiOamI0BRZNxBwHaJ6?rs=1&pid=ImgDetMain
77,titan 1,Animation ,Anime,Animation Action,https://th.bing.com/th/id/OIP.2Ghv10Ujyn5AJW6nfh4CuAHaKe?rs=1&pid=ImgDetMain
78,titan 2,Animation ,Anime,Animation Action,https://2.bp.blogspot.com/-agNp0YnwC80/WN81EQ4RxfI/AAAAAAAAA3A/9KtIKHByirIjD4sPZgTi4wI8yV1Yd08TgCLcB/s1600/f222fa1e23ae76b8af825134e7d53ca9.jpg
79,titan 1,Action,Live Action,Live-action Action Animation,https://musicimage.xboxlive.com/catalog/video.movie.8D6KGX0R43CH/image?locale=en-us&w=1000&h=1400&purposes=BoxArt
80,titan 2,Action,Live Action,Live-action Action Animation,https://i.pinimg.com/originals/da/ef/2e/daef2e5356e13b32b5c7aa3d0191732a.jpg
81,Tokyo Ghoul 1,Animation ,Anime,Animation Action Fantasy,https://image.tmdb.org/t/p/original/mt6ForyKh4JS0v5ho8xhauISidF.jpg
82,Tokyo Ghoul 2,Animation ,Anime,Animation Action Fantasy,https://th.bing.com/th/id/OIP.QsvGwDMomyzvTyYJ_qlOfgAAAA?rs=1&pid=ImgDetMain
83,Tokyo Ghoul:re,Animation ,Anime,Animation Action Fantasy,https://avatarfiles.alphacoders.com/132/132180.jpg
84,Tokyo Ghoul (2017),Action,Movies,Action Fantasy,https://th.bing.com/th/id/OIP.fDutHPCFoFDD8-tnDF9igwAAAA?w=474&h=711&rs=1&pid=ImgDetMain
85,Omniscient Reader�,Animation ,Anime,Animation Action Fantasy,https://nano-manga.com/wp-content/uploads/2023/01/Omniscient-Reader-%E0%B8%AD%E0%B9%88%E0%B8%B2%E0%B8%99%E0%B8%8A%E0%B8%B0%E0%B8%95%E0%B8%B2%E0%B8%A7%E0%B8%B1%E0%B8%99%E0%B8%AA%E0%B8%B4%E0%B9%89%E0%B8%99%E0%B9%82%E0%B8%A5%E0%B8%81.png
86,Regressor Instruction Manual,Animation ,Anime,Animation Action Fantasy,https://i.pinimg.com/564x/ed/c3/b8/edc3b8b45aa20f766b60e83f85c01d13.jpg
87,Solo leveling,Animation ,Anime,Animation Action Fantasy,https://1.bp.blogspot.com/-6r0SB2yh8a8/YQe5bkD0vsI/AAAAAAAAAM4/znWquzx0PUku_u_jMW0IViBgJFmEudoFgCLcBGAsYHQ/s1240/solo-leveling-02-cover.jpg
88,Lookism,Animation ,Anime,Animation  Action,https://images.justwatch.com/poster/302172788/s718/lookism.%7Bformat%7D
