review	sentiment
อยากมีนางเอกเป็นของตัวเอง แสนดีเป็นที่หนึ่ง	positive
ยกให้เรื่องนี้นัมเบอร์วัน	positive
พระเอกไม่ควรมีคนเดียวบนโลก	positive
ชอบอะ ชอบพระเอกแบบนี้สุด ๆ คือไม่พ่อพระ ไม่แสนดี แบบร้ายกับคนทั้งโลก ดีกับเธอคนเดียวงี้	positive
พระเอกอย่างฉลาด	positive
กราบคนคิดบท คิดไปได้ไง สุดยอด	positive
ฉากทำมาได้ดีมาก	positive
ดีทุกฉากเลยอะ	positive
พระ-นางสวย วิวก็สวย	positive
เคมีคู่นี้เหมาะกันสุด ๆ	positive
ประทับใจฉากที่เขาสองคนได้กลับมาพบกันอะ	positive
ดูแล้วมีแรงบรรดาลใจ	positive
ใครชอบนางเอกสายแกร่งคือเชียร์เรื่องนี้ แกร่งมาก สวย แถมเท่สุด ๆ 	positive
นางเอกชื่ออะไรเหรอคะ คือ แสดงดีสุด ๆ อยากติดตามค่ะ	positive
ใครมีช่องทางการติดตามนักแสดงเรื่องนี้กันบ้างคะ	positive
ไม่น้า ยังไม่อยากให้จบเลย	positive
สปอนเซอร์ต้องเข้าแล้วปะ	positive
กรี้ด เรื่องนี้คือบั่บ อุปกรณ์เป๊ะปัง แบบเยอะมากกกกก สปอนเซอร์ก็ตรึม	positive
เท่มากพี่สาว	positive
แต่งค่ะ	positive
ชอบค่ะ!!!!!	positive
รักค่ะ><	positive
อย่างล้ำ	positive
ว้าว	positive
wow	positive
ไม่ธรรมดา	positive
คืออึ้งมาก เปิดตัวอย่างอลัง ตีลังกามาเลยเหรอเพ่!	positive
โบกป้ายไฟเชียร์ค่ะ	positive
ติดตามครับ	positive
อึ้งมาก ไม่คิดว่านักแสดงจะแสดงเอง คือเก่งมาก ๆ	positive
มงต้องลงล่ะปะ	positive
เริ่ดมาก	positive
เริ่ดสะแมนแตน	positive
บรรเจิด	positive
อย่างเลิศ	positive
ตัวแม่ ตัวมัม ตัวสูตินารี	positive
อย่างตึง	positive
โคตรเหมือนจริงเลย 	positive
เล่นได้เหมือนมาก ๆๆๆๆๆๆ	positive
ขอชมคอสตูมเลยค่ะ คืองานดีมาก และพวกอุปกรณ์คือเหมือนจริงสุด ๆ	positive
ดีสุด ๆ เลยค่ะ >w<	positive
สมกับเป็นแนวหน้าของวงการ คือแสดงดี เข้าถึงบทบาทสุด ๆ	positive
พี่ใหม่คือเล่นได้ทุกบทบาทจริง ๆ	positive
โคตรน่าสนใจ ได้ยินว่าเรื่องนี้สร้างจากเรื่องจริงด้วย คือบั่บอึ้ง	positive
ซึ้งสุด ๆ	positive
สุดยอดเลยครับ	positive
ได้ทั้งสาระ ทั้งสนุก ชอบมากครับ	positive
ว่าที่หนังยอดเยี่ยมแห่งปีแน่ ๆ ส่วนพระเอกนี่น่าจะได้รางวัลแน่ ๆ คือแสดงดีสุด ๆ	positive
น่ารักอ่า	positive
งั้น ๆ    positive
โอเคอยู่  positive
ดูดีอยู่นะ ว่าไม่ได้   positive
โคตรน่ากลัว   positive
ตลกกกกกก   positive
จี้อะ อย่างขำ   positive
แก ฉันชอบอะ   positive
อยากจะหวี้ดดดดด   positive
สามีขา   positive
โอ้ปป้าาาาาาา   positive
เมนฉันเองค่ะ เมนฉัน   positive
I Love you  positive
แจ่มมาก  positive
อย่างเทพอะครับ  positive
5555555555555555  positive
บ่อน้ำตาแตก เปียกปอนนนน  positive
ร้องไห้เหมียนหมาาาา  positive
สปอนเซอร์อาหารหมาต้องเข้าแล้วปะ  positive
มดขึ้นตา  positive
เขาก็รักของเขาอะนะ  positive
